id,track_name,artist_name,album_name,external_url,release_date,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence
6cLxNwJmqxLbmbGPP8ulQr,If You Ever Come Back,The Script,Science & Faith (US Version),https://open.spotify.com/track/6cLxNwJmqxLbmbGPP8ulQr,2011-01-18,0.0372,0.547,242067,0.794,0,0.0,7,0.114,-4.713,1,47,0.0276,96.034,0.568
5WDlNHQW1LmcQIA15oGjiW,distance,Christina Perri,lovestrong.,https://open.spotify.com/track/5WDlNHQW1LmcQIA15oGjiW,2011-05-10,0.416,0.4,236067,0.445,0,9.03e-06,2,0.0938,-7.546,1,53,0.0323,150.15,0.108
3GJZLvGXaVszYdSBLMtJFX,Strength of a Thousand Men,Thomas Bergersen,Archangel,https://open.spotify.com/track/3GJZLvGXaVszYdSBLMtJFX,2011-09-20,0.0962,0.478,136892,0.906,0,0.919,0,0.115,-6.7810000000000015,0,59,0.0419,140.02100000000002,0.59
3L2YOO6dDiB91M1AbQ0CCR,No Make-Up (Her Vice) (feat. Colin Munroe),Kendrick Lamar,Section.80,https://open.spotify.com/track/3L2YOO6dDiB91M1AbQ0CCR,2011-07-02,0.541,0.535,235921,0.696,1,0.00521,5,0.63,-7.181,0,50,0.0901,91.002,0.213
5LCuFER5mMzL0fGNpClksf,Sister,The Black Keys,El Camino,https://open.spotify.com/track/5LCuFER5mMzL0fGNpClksf,2011-12-06,0.00191,0.757,205187,0.6609999999999999,0,5.770000000000001e-05,2,0.141,-5.908,1,53,0.0291,111.64,0.617
7aZDLCAqie3RYzCrBFXOJL,Period,CHEMISTRY,Chemistry 2001-2011,https://open.spotify.com/track/7aZDLCAqie3RYzCrBFXOJL,2011-03-02,0.00487,0.385,215040,0.912,0,1.11e-05,1,0.0926,-4.198,0,55,0.105,127.038,0.312
5o5KX1f1JBQ2SxGzE8RQQA,It's Good,Lil Wayne,Tha Carter IV (Deluxe),https://open.spotify.com/track/5o5KX1f1JBQ2SxGzE8RQQA,2011-01-01,0.0244,0.6659999999999999,241467,0.715,1,0.0,8,0.119,-7.292000000000002,1,47,0.156,85.35600000000002,0.1
2M98FO4fkGec4lzsafk8YY,Intoxicated,The Cab,Symphony Soldier,https://open.spotify.com/track/2M98FO4fkGec4lzsafk8YY,2011,0.197,0.579,248080,0.889,0,0.0,6,0.131,-4.078,1,47,0.0796,125.948,0.556
7FiotLvz43ez091HX0bnmQ,Ocean Front Property,George Strait,Best Of (Deluxe Edition),https://open.spotify.com/track/7FiotLvz43ez091HX0bnmQ,2011-01-01,0.11,0.659,186320,0.472,0,0.0,2,0.262,-9.428,1,47,0.0264,78.327,0.741
75Y88Zol5lYhme2YOI544T,The Stand,Mother Mother,Eureka,https://open.spotify.com/track/75Y88Zol5lYhme2YOI544T,2011-03-15,0.00213,0.696,176507,0.87,0,0.000229,2,0.0525,-3.5660000000000003,1,50,0.0487,117.998,0.8759999999999999
1tF370eYXUcWwkIvaq3IGz,I Got A Feelin',Billy Currington,Best Of,https://open.spotify.com/track/1tF370eYXUcWwkIvaq3IGz,2011-01-01,0.363,0.63,193760,0.764,0,0.0,2,0.125,-4.353,1,47,0.0275,112.098,0.631
0VamAmertqIxKM5axPSkCy,Bailando por Ahi,Juan Magán,Bailando por Ahi,https://open.spotify.com/track/0VamAmertqIxKM5axPSkCy,2011-05-15,0.0427,0.73,180453,0.732,0,2.22e-06,4,0.262,-5.167000000000002,0,59,0.051,129.974,0.974
1JyG5yuwpN0VIi4wbqvDfB,Man Or Muppet,Jason Segel,The Muppets (Original Motion Picture Soundtrack),https://open.spotify.com/track/1JyG5yuwpN0VIi4wbqvDfB,2011-11-21,0.21,0.56,177533,0.404,0,0.00049,5,0.197,-8.817,1,49,0.0357,145.612,0.157
2uhaDVmfG7pT94VO5jl2r4,Lo Mejor de Mi Vida Eres Tú (feat. Natalia Jiménez),Ricky Martin,Más Música + Alma + Sexo,https://open.spotify.com/track/2uhaDVmfG7pT94VO5jl2r4,2011-11-15,0.5429999999999999,0.727,216613,0.812,0,0.0,3,0.0796,-4.148,1,62,0.0405,128.811,0.812
3JhNsyNQSyrsHcnFRHZN1e,Black Flies,Ben Howard,Every Kingdom,https://open.spotify.com/track/3JhNsyNQSyrsHcnFRHZN1e,2011-01-01,0.44,0.581,381507,0.36,0,0.00589,8,0.0924,-13.174,1,56,0.0289,132.469,0.107
775OxWq9wfVzmVDS0n3zff,Statues,Alexandre Desplat,"Harry Potter and the Deathly Hallows, Pt. 2 (Original Motion Picture Soundtrack)",https://open.spotify.com/track/775OxWq9wfVzmVDS0n3zff,2011-07-12,0.442,0.321,144200,0.241,0,0.888,1,0.105,-20.495,1,46,0.0373,128.98,0.0795
6C7YFHZnzkSMsR5Hu4xVfL,Hold You Down,Childish Gambino,Camp,https://open.spotify.com/track/6C7YFHZnzkSMsR5Hu4xVfL,2011-11-15,0.229,0.584,292453,0.69,1,1.74e-05,7,0.146,-7.877999999999999,1,49,0.101,85.046,0.512
6WF4hzdGXvXd1joERSXJjm,Hurts Like Heaven,Coldplay,Mylo Xyloto,https://open.spotify.com/track/6WF4hzdGXvXd1joERSXJjm,2011-10-24,0.01,0.419,242253,0.773,0,0.00418,10,0.269,-6.187,1,56,0.0305,89.954,0.274
4sLGaMl33I6mcsk7u4xHAU,Codex,Radiohead,The King Of Limbs,https://open.spotify.com/track/4sLGaMl33I6mcsk7u4xHAU,2011-02-18,0.841,0.327,287067,0.128,0,0.76,2,0.13,-17.535999999999998,0,55,0.0301,58.993,0.0648
31DmTztbIIsv6wSE93S4fZ,El Mejor Perfume,La Original Banda El Limón de Salvador Lizárraga,El Primer Lugar,https://open.spotify.com/track/31DmTztbIIsv6wSE93S4fZ,2011-01-01,0.701,0.6709999999999999,153667,0.499,0,1.12e-05,7,0.0579,-6.556,1,54,0.0348,153.957,0.966
1U69jy6P8Kz0hdNOuzbRCk,Morenita,Marco Antonio Solís,¡Viva la Reina de México!,https://open.spotify.com/track/1U69jy6P8Kz0hdNOuzbRCk,2011-12-01,0.0216,0.584,169133,0.855,0,3.8e-06,0,0.119,-4.5360000000000005,1,56,0.0564,111.085,0.863
6jAyMqsMuu7NTmefJVE8Pc,Half Moon,Blind Pilot,We Are the Tide,https://open.spotify.com/track/6jAyMqsMuu7NTmefJVE8Pc,2011-09-13,0.1639999999999999,0.54,208053,0.535,0,0.00225,7,0.104,-8.908999999999997,0,50,0.0315,150.84,0.471
3oMgeBTWn2AbLzVHbhmZI6,Reptile's Theme,Skrillex,Reptile's Theme,https://open.spotify.com/track/3oMgeBTWn2AbLzVHbhmZI6,2011-01-01,0.000354,0.629,236520,0.8909999999999999,0,0.0459,2,0.251,-4.912,1,46,0.213,109.91,0.518
5zes2uxTNuqNlO6toDTZN5,Primetime,JAY-Z,Watch The Throne (Deluxe),https://open.spotify.com/track/5zes2uxTNuqNlO6toDTZN5,2011-08-08,0.166,0.662,199240,0.923,1,9.64e-06,11,0.31,-4.085,0,51,0.21,84.99,0.469
6eRPYyh1EPRqDhgb3Nardw,Spirit of Life,Blackmill,Miracle,https://open.spotify.com/track/6eRPYyh1EPRqDhgb3Nardw,2011-12-21,0.276,0.537,375433,0.596,0,0.77,5,0.358,-8.481,0,50,0.0343,140.026,0.109
0Gs5zsjp7Rp2i41yMgNxCf,Stay Together,Ledisi,Pieces Of Me,https://open.spotify.com/track/0Gs5zsjp7Rp2i41yMgNxCf,2011-01-01,0.189,0.6890000000000001,236547,0.652,0,0.0,1,0.0355,-6.476,1,47,0.159,90.997,0.7020000000000001
2aDsxXzs55S9I7THzNoHdD,Body 2 Body,Ace Hood,Blood Sweat & Tears (Deluxe),https://open.spotify.com/track/2aDsxXzs55S9I7THzNoHdD,2011-01-01,0.00252,0.603,235307,0.82,1,0.0,1,0.178,-4.587,0,46,0.0566,152.05700000000004,0.561
0QIcBEx2NtaMkAeqOpnqjL,El Corrido De La Estrella,Grupo Laberinto,Me Voy Como Vine,https://open.spotify.com/track/0QIcBEx2NtaMkAeqOpnqjL,2011-11-11,0.6920000000000001,0.716,195675,0.491,0,0.0,10,0.196,-4.449,1,50,0.0515,104.859,0.967
5iYUt3rsgrGFU0nugdhYwj,Rumour Has It / Someone Like You,Glee Cast,"Glee: The Music, Volume 7",https://open.spotify.com/track/5iYUt3rsgrGFU0nugdhYwj,2011-12-06,0.275,0.64,207947,0.8959999999999999,0,0.0,6,0.147,-3.221,0,57,0.0789,123.071,0.7509999999999999
7Cj2tT0m2SBeIO1PsGfk8A,Grenade - Acoustic,Bruno Mars,The Grenade Sessions,https://open.spotify.com/track/7Cj2tT0m2SBeIO1PsGfk8A,2011-02-08,0.818,0.643,249535,0.394,0,0.0,2,0.0888,-6.305,0,60,0.0305,97.911,0.364
2t97pZAsSgraYlocMNhkSe,Hold Me (feat. Tobymac),Jamie Grace,One Song at a Time,https://open.spotify.com/track/2t97pZAsSgraYlocMNhkSe,2011-09-20,0.5329999999999999,0.75,213440,0.8079999999999999,0,0.0,11,0.087,-4.074,1,48,0.0423,136.059,0.89
0kZEfdlIq3sfQklsGcUZDm,Droopy Likes Your Face,C418,Minecraft - Volume Alpha,https://open.spotify.com/track/0kZEfdlIq3sfQklsGcUZDm,2011-03-04,0.589,0.59,116762,0.325,0,0.927,2,0.2,-20.327,0,51,0.0348,94.622,0.404
2X42KFgnOSaxOHMG0nDOdj,Fight for You,Jason Derulo,Future History (Deluxe Edition),https://open.spotify.com/track/2X42KFgnOSaxOHMG0nDOdj,2011-09-16,0.0139,0.416,242173,0.84,0,0.0,0,0.113,-4.298,1,57,0.0787,177.942,0.523
3JWkjpMCesLuBbz2LMMDgz,Drunk Off Your Love (feat. Sky Blu of LMFAO),Shwayze,Island in the Sun,https://open.spotify.com/track/3JWkjpMCesLuBbz2LMMDgz,2011-09-13,0.23,0.752,226012,0.693,0,0.0,10,0.199,-5.144,1,48,0.0932,119.977,0.667
34LcXo2NQttotmy7XzlKsY,Eyes,Kaskade,Fire & Ice,https://open.spotify.com/track/34LcXo2NQttotmy7XzlKsY,2011-11-08,0.00162,0.5870000000000001,315263,0.556,0,0.216,0,0.0782,-7.991,1,50,0.044,128.017,0.309
4kgEQKp5Y4ltlxM9rh4jXW,Contrabando Y Traición,Los Tigres Del Norte,Tr3s Presents MTV Unplugged Los Tigres Del Norte And Friends,https://open.spotify.com/track/4kgEQKp5Y4ltlxM9rh4jXW,2011-01-01,0.0859,0.605,231920,0.909,0,0.0024,0,0.889,-5.985,1,55,0.0935,117.386,0.55
0ni8h8HAJNFwuL9cMWR9XN,The Regulator,Clutch,Blast Tyrant (Deluxe Edition),https://open.spotify.com/track/0ni8h8HAJNFwuL9cMWR9XN,2011-05-10,0.115,0.5660000000000001,325027,0.706,0,2.4e-05,7,0.147,-5.509,1,48,0.0376,89.993,0.211
6uBexmz61ckt5XQRqTgF3M,Distant Sures,The Cave Singers,No Witch,https://open.spotify.com/track/6uBexmz61ckt5XQRqTgF3M,2011-02-22,0.8759999999999999,0.604,191267,0.363,0,0.166,10,0.165,-11.674,1,53,0.0295,88.37700000000002,0.672
05wB0mSpDASexc98oKZCOw,Bilgewater,Brown Bird,Salt For Salt,https://open.spotify.com/track/05wB0mSpDASexc98oKZCOw,2011-10-18,0.457,0.568,226689,0.317,0,0.0195,2,0.107,-10.545,0,47,0.045,113.429,0.7609999999999999
