id,track_name,artist_name,album_name,external_url,preview_url,release_date
04M3DsiMNyn8s5XQJrW5sL,Cold Love,Rainbow Kitten Surprise,RKS,https://open.spotify.com/track/04M3DsiMNyn8s5XQJrW5sL,,2015-04-25
5XfywqPX6XBOdYQNbOaQvy,Good For You,Selena Gomez,Good For You,https://open.spotify.com/track/5XfywqPX6XBOdYQNbOaQvy,,2015-08-07
3u1bKblfqeghD3grk3Le2w,In This Love,Stick Figure,Set in Stone,https://open.spotify.com/track/3u1bKblfqeghD3grk3Le2w,,2015-11-13
6oLHyWvmk6bKrA91EIYZBp,Wednesday Night Interlude,Drake,If You're Reading This It's Too Late,https://open.spotify.com/track/6oLHyWvmk6bKrA91EIYZBp,,2015-02-12
0yzKJqFTXsbzWjUHaiOxD9,No Hay Lugar Más Alto (En Vivo) [feat. Christine D'clario],Miel San Marcos,Como En El Cielo (En Vivo),https://open.spotify.com/track/0yzKJqFTXsbzWjUHaiOxD9,,2015-03-06
4BP0An7SXctTY4kF41JxIQ,Halftime,Young Thug,Barter 6,https://open.spotify.com/track/4BP0An7SXctTY4kF41JxIQ,,2015-04-16
1hPKSQuvfLlPeIu8xhRyTf,Until the World Goes Cold,Trivium,Silence in the Snow (Special Edition),https://open.spotify.com/track/1hPKSQuvfLlPeIu8xhRyTf,,2015-09-28
5rqfg8Hz5D1aCcn2XUxzNA,Traphouse,Tory Lanez,Traphouse,https://open.spotify.com/track/5rqfg8Hz5D1aCcn2XUxzNA,,2015-01-15
5MChi9fdCbTIWDJPPUuuW6,Beautiful Escape,Tom Misch,Beat Tape 2,https://open.spotify.com/track/5MChi9fdCbTIWDJPPUuuW6,,2015-08-28
2YaDRtIlQiZ5WDDB2YuEOC,You & The 6,Drake,If You're Reading This It's Too Late,https://open.spotify.com/track/2YaDRtIlQiZ5WDDB2YuEOC,,2015-02-12
4oVdhvxZrKQTM9ZsUIZa3S,December,Neck Deep,Life's Not Out To Get You,https://open.spotify.com/track/4oVdhvxZrKQTM9ZsUIZa3S,,2015-08-14
3u4rIcRR7gSoJdkJIx9zpu,Young,Vallis Alps,Vallis Alps,https://open.spotify.com/track/3u4rIcRR7gSoJdkJIx9zpu,,2015-01-06
7vlPI45Zzzk0palLdKry4k,The Matrimony (feat. Usher),Wale,The Album About Nothing,https://open.spotify.com/track/7vlPI45Zzzk0palLdKry4k,,2015-03-31
4ClnJdCaf6PLeLgStqb1e9,Hide and Seek,Lizz Robinett,Hide and Seek,https://open.spotify.com/track/4ClnJdCaf6PLeLgStqb1e9,,2015-01-01
2aQ7c8reAlk28ff0fJwN52,Overtime,Nipsey Hussle,Mailbox Money,https://open.spotify.com/track/2aQ7c8reAlk28ff0fJwN52,,2015-01-01
1WT11QmhZutciEv1NsHt1R,Mortal Man,Kendrick Lamar,To Pimp A Butterfly,https://open.spotify.com/track/1WT11QmhZutciEv1NsHt1R,,2015-03-16
4ZcGbQ5dOKX6rJk4yvza9R,Flesh without Blood,Grimes,Art Angels,https://open.spotify.com/track/4ZcGbQ5dOKX6rJk4yvza9R,,2015-11-06
6huS9u0BDfeQHq0lObNLPl,Better Together,Us The Duo,Better Together,https://open.spotify.com/track/6huS9u0BDfeQHq0lObNLPl,,2015-04-28
