id,track_name,artist_name,album_name,external_url,preview_url,release_date
31xSvFVADJ5IpUVngFt433,Go to Hell,Casey Donahew,Standoff,https://open.spotify.com/track/31xSvFVADJ5IpUVngFt433,,2013-04-16
3lowcuAcg6INX4Rs32KzjJ,Hop is Back,Hopsin,Knock Madness,https://open.spotify.com/track/3lowcuAcg6INX4Rs32KzjJ,,2013-11-26
5uEcslrmFzkDqTaFB26yj2,The Cello Song,The Piano Guys,The Piano Guys,https://open.spotify.com/track/5uEcslrmFzkDqTaFB26yj2,,2013-01-18
0cMIrWqljfkcl99TIYTtqf,El Colesterol,Fito Olivares Y La Pura Sabrosura,Exitos Inolvidables,https://open.spotify.com/track/0cMIrWqljfkcl99TIYTtqf,,2013-06-25
4DmBVImaIhE3RyNvbtZTTz,Hear My Train a Comin',Jimi Hendrix,"People, Hell & Angels",https://open.spotify.com/track/4DmBVImaIhE3RyNvbtZTTz,,2013
4hBQtVSJt5fZ2VZGECVe3N,I Am Who Am (Killin' Time),Mac Miller,Watching Movies with the Sound Off (Deluxe Edition),https://open.spotify.com/track/4hBQtVSJt5fZ2VZGECVe3N,,2013-06-18
1AcJJerSHcXCnevx9oSoWe,Wait For A Minute,Tyga,Wait For A Minute,https://open.spotify.com/track/1AcJJerSHcXCnevx9oSoWe,,2013-01-01
5m9czFpeSzeSaw2kA6o9dW,It's Dangerous to Go Alone,Starbomb,Starbomb,https://open.spotify.com/track/5m9czFpeSzeSaw2kA6o9dW,,2013-12-13
5GMaBMKjisLhVfjRoH5BaW,My House,Kacey Musgraves,Same Trailer Different Park,https://open.spotify.com/track/5GMaBMKjisLhVfjRoH5BaW,,2013-01-01
45JxylFwaThjLsRBuzcfoL,Rhyme Or Reason,Eminem,The Marshall Mathers LP2 (Deluxe),https://open.spotify.com/track/45JxylFwaThjLsRBuzcfoL,,2013-11-05
1a6LRSRHWS4zKvBjQNaF0S,LIFE,Jon Bellion,Translations Through Speakers,https://open.spotify.com/track/1a6LRSRHWS4zKvBjQNaF0S,,2013-02-20
15s3PQjVCiHSwRqSKaqkDw,Dark Paradise - Parov Stelar Remix,Lana Del Rey,The Art of Sampling,https://open.spotify.com/track/15s3PQjVCiHSwRqSKaqkDw,,2013-10-04
35yZkNFNVosiHE6Uj0COVM,The Fall,Rhye,Woman,https://open.spotify.com/track/35yZkNFNVosiHE6Uj0COVM,,2013-01-01
1OqcfMMZrkxtQFRXFhk2j6,Tres Semanas,Marco Antonio Solís,Tres Semanas,https://open.spotify.com/track/1OqcfMMZrkxtQFRXFhk2j6,,2013-01-01
71N5U2T2S6QT4uCCKa3KLr,It Hurts,Bad Bad Hats,It Hurts,https://open.spotify.com/track/71N5U2T2S6QT4uCCKa3KLr,,2013-01-28
6SFTYQSczxhBNKR5bYjGMD,Save Rock And Roll,Fall Out Boy,Save Rock And Roll,https://open.spotify.com/track/6SFTYQSczxhBNKR5bYjGMD,,2013-04-12
0WGIBojlsV9GT4A5xwjkE4,Eyes To The Sky,Jon Bellion,The Separation,https://open.spotify.com/track/0WGIBojlsV9GT4A5xwjkE4,,2013-12-10
1Pc3gTtQG4Cq1x81NcXtCN,My God Is The Sun,Queens of the Stone Age,...Like Clockwork,https://open.spotify.com/track/1Pc3gTtQG4Cq1x81NcXtCN,,2013-06-03
7oQSevUCbYs4QawXTHQVV1,Rock DJ,Robbie Williams,Sing When You're Winning,https://open.spotify.com/track/7oQSevUCbYs4QawXTHQVV1,,2013-01-01
6QE9wweexetE63HPZki8vY,No Good,Knuckle Puck,The Weight That You Buried,https://open.spotify.com/track/6QE9wweexetE63HPZki8vY,,2013-09-03
44ACUeHbA9M9d7XcFwr0sb,Estoy Enamorado,Wisin & Yandel,La Historia De El Dúo (Vol.1),https://open.spotify.com/track/44ACUeHbA9M9d7XcFwr0sb,,2013-01-01
56qal8A8mVgMVpbDC3iIke,Girls Like That,Krizz Kaliko,Son of Sam (Deluxe Edition),https://open.spotify.com/track/56qal8A8mVgMVpbDC3iIke,,2013-08-27
1wpin6CIQlmEUuZvALQSVw,Aquarium,Mac Miller,Watching Movies with the Sound Off (Deluxe Edition),https://open.spotify.com/track/1wpin6CIQlmEUuZvALQSVw,,2013-06-18
2oTdiDj4AawNeeYFz8bipG,Things We Lost In The Fire,Bastille,Bad Blood,https://open.spotify.com/track/2oTdiDj4AawNeeYFz8bipG,,2013-01-01
0DrhapFEF5d9Yzg4v914dp,Awake,Jeremy Soule,The Elder Scrolls V: Skyrim: Original Game Soundtrack,https://open.spotify.com/track/0DrhapFEF5d9Yzg4v914dp,,2013-01-31
58qolKVzSJM0o4SblVgzPL,The Mtn Song,Rayland Baxter,Ashkelon,https://open.spotify.com/track/58qolKVzSJM0o4SblVgzPL,,2013-08-20
5G4JTc4HlIsg7CyiDwoPV2,Mambo Italiano,Dean Martin,Dino: The Essential Dean Martin,https://open.spotify.com/track/5G4JTc4HlIsg7CyiDwoPV2,,2013-12-31
0VGXyzdRuqnpk5Tz2mRdlx,Antivist,Bring Me The Horizon,Sempiternal (Deluxe Edition),https://open.spotify.com/track/0VGXyzdRuqnpk5Tz2mRdlx,,2013-04-02
2pIJnszhf8X8GF9KSzB53i,Moments Like This,The Afters,Life Is Beautiful,https://open.spotify.com/track/2pIJnszhf8X8GF9KSzB53i,,2013-04-16
3eRE3Ng4VmqcXtwHcn867r,Safe With Me,Sam Smith,Nirvana,https://open.spotify.com/track/3eRE3Ng4VmqcXtwHcn867r,,2013-01-01
2rtFUTZLSQ7cECBXfUOgJe,Far Horizons,Jeremy Soule,The Elder Scrolls V: Skyrim: Original Game Soundtrack,https://open.spotify.com/track/2rtFUTZLSQ7cECBXfUOgJe,,2013-01-31
1B8RSIxmwcjad7XUJjeCK2,You Make Me Feel so Young,Michael Bublé,To Be Loved,https://open.spotify.com/track/1B8RSIxmwcjad7XUJjeCK2,,2013-04-11
6vZDTZAipjbn4GwhKfJqac,Tell Me How You Like It,Florida Georgia Line,Here's To The Good Times...This Is How We Roll,https://open.spotify.com/track/6vZDTZAipjbn4GwhKfJqac,,2013-01-01
6cWpj6c5pNZYEk5KYjNBji,Let It Go,The Neighbourhood,I Love You.,https://open.spotify.com/track/6cWpj6c5pNZYEk5KYjNBji,,2013-04-22
62KMWKXOfDWwdY6pZr11iX,Dial Up,Childish Gambino,Because the Internet,https://open.spotify.com/track/62KMWKXOfDWwdY6pZr11iX,,2013-12-10
3UJvgGaBEJcDqz61mbvqAp,Buzzkill,Luke Bryan,Spring Break...Here To Party,https://open.spotify.com/track/3UJvgGaBEJcDqz61mbvqAp,,2013-01-01
2qcPsPqgTpl1KYgVptu3Oc,Victim of Love,Charles Bradley,Victim of Love,https://open.spotify.com/track/2qcPsPqgTpl1KYgVptu3Oc,,2013-04-02
