id,track_name,artist_name,album_name,external_url,preview_url,release_date
4MofYf0f4ijlVV6elUW5S3,Untouchable,YoungBoy Never Broke Again,Untouchable,https://open.spotify.com/track/4MofYf0f4ijlVV6elUW5S3,,2017-05-31
03E06FTE8LrhTfdOfDBb2q,Rain Sounds: Raining,Sky Fall SF,Rain,https://open.spotify.com/track/03E06FTE8LrhTfdOfDBb2q,,2017-05-05
6gyYI35SD576xiwstBIX7Y,sorry,chief.,late nights,https://open.spotify.com/track/6gyYI35SD576xiwstBIX7Y,,2017-12-08
7KcGEssn7BnJdTgildK5y0,No Frauds,Nicki Minaj,No Frauds,https://open.spotify.com/track/7KcGEssn7BnJdTgildK5y0,,2017-03-10
6wZcefZGc6vrd3zLCQoOYe,空に歌えば,amazarashi,Chihou Toshi No Memento Mori,https://open.spotify.com/track/6wZcefZGc6vrd3zLCQoOYe,,2017-12-13
4JNdKmSZRsYDBwhIgZpa5M,Don't Tread on Me (feat. Earl Dibbles Jr.),Granger Smith,When The Good Guys Win,https://open.spotify.com/track/4JNdKmSZRsYDBwhIgZpa5M,,2017-10-27
4xBjsLUSjcx2h7PcRikpQp,OMG (feat. Quavo),Camila Cabello,OMG (feat. Quavo),https://open.spotify.com/track/4xBjsLUSjcx2h7PcRikpQp,,2017-08-03
78YfFq0BoyU3liELT9xm5D,Spirit Body Rain Fall,Sampling XL,Rain,https://open.spotify.com/track/78YfFq0BoyU3liELT9xm5D,,2017-05-05
6kVku2CoE7fbD29miiutzw,Butterflies,Samsa,Butterflies,https://open.spotify.com/track/6kVku2CoE7fbD29miiutzw,,2017-05-16
5jsDxDkJ1PqyYUWhDMr86B,Song #3,Stone Sour,Hydrograd,https://open.spotify.com/track/5jsDxDkJ1PqyYUWhDMr86B,,2017-06-30
77Y57qRJBvkGCUw9qs0qMg,In the Blood,John Mayer,The Search for Everything,https://open.spotify.com/track/77Y57qRJBvkGCUw9qs0qMg,,2017-04-14
5tdcH4SoS9ViDo8vtSRsft,Here Comes The Sun,Neneh Yacobi,Now And Then,https://open.spotify.com/track/5tdcH4SoS9ViDo8vtSRsft,,2017-10-26
6ACiYjq5Q7e6BlhZEHz7cd,Garden Shed (feat. Estelle),"Tyler, The Creator",Flower Boy,https://open.spotify.com/track/6ACiYjq5Q7e6BlhZEHz7cd,,2017-07-21
7dUdMZqfGSIt0ZkmTOgRLA,I Was Wrong,Chris Stapleton,From A Room: Volume 1,https://open.spotify.com/track/7dUdMZqfGSIt0ZkmTOgRLA,,2017-05-05
2pJZ1v8HezrAoZ0Fhzby92,What Do I Know?,Ed Sheeran,÷ (Deluxe),https://open.spotify.com/track/2pJZ1v8HezrAoZ0Fhzby92,,2017-03-03
5VnaOLeK1lKfULuNwet8ck,Flowers,In Love With a Ghost,Let's Go,https://open.spotify.com/track/5VnaOLeK1lKfULuNwet8ck,,2017-10-23
3wBAhQLR9VjWfyYO3u4oPR,What in XXXTarnation,XXXTENTACION,What in XXXTarnation,https://open.spotify.com/track/3wBAhQLR9VjWfyYO3u4oPR,,2017-04-20
0Dk9lP1YnOqssHH0oCeq9u,I <3 My Choppa,Tay-K,#SantanaWorld (+),https://open.spotify.com/track/0Dk9lP1YnOqssHH0oCeq9u,,2017-12-14
0RyA3o15NOLJYtm9NlDu5c,"Frat Rules (feat. A$AP Rocky, Playboi Carti & Big Sean)",A$AP Mob,Cozy Tapes Vol. 2: Too Cozy,https://open.spotify.com/track/0RyA3o15NOLJYtm9NlDu5c,,2017-08-25
2Ulnsoz9xPe1GO6vQh3x3m,I'm Not Famous,AJR,The Click,https://open.spotify.com/track/2Ulnsoz9xPe1GO6vQh3x3m,,2017-06-09
5mB1bWU8VueYVxuvcLPn2B,Do It Myself,Russ,There's Really A Wolf,https://open.spotify.com/track/5mB1bWU8VueYVxuvcLPn2B,,2017-05-05
6iF5JgF1GNUQwlnsgnMzUu,No Effort,Tee Grizzley,My Moment,https://open.spotify.com/track/6iF5JgF1GNUQwlnsgnMzUu,,2017-04-07
3Y6L3oiUydJIGsmk5zHlDO,Idgaf,Sik World,Still Lost,https://open.spotify.com/track/3Y6L3oiUydJIGsmk5zHlDO,,2017-12-11
66y7x28jXOPrcmu3D5Zjh6,A Million Dreams (Reprise),Austyn Johnson,The Greatest Showman (Original Motion Picture Soundtrack),https://open.spotify.com/track/66y7x28jXOPrcmu3D5Zjh6,,2017-12-08
3tyTt5pEWblt96j1HsXiV5,Freedom! '90 - Remastered,George Michael,Listen Without Prejudice / MTV Unplugged (Deluxe),https://open.spotify.com/track/3tyTt5pEWblt96j1HsXiV5,,2017-10-20
3NgCzSW98SsqBdpYcnm4kv,I Have Questions,Camila Cabello,I Have Questions,https://open.spotify.com/track/3NgCzSW98SsqBdpYcnm4kv,,2017-05-21
1OhTW1OIZW8g0PrRuccUtZ,Brain Relaxation Sky,Sample Rain Library,Rain Sounds,https://open.spotify.com/track/1OhTW1OIZW8g0PrRuccUtZ,,2017-04-12
5QJuMhGWTUB4t9BqR7ndL3,Make Me Your Queen,Declan McKenna,What Do You Think About the Car?,https://open.spotify.com/track/5QJuMhGWTUB4t9BqR7ndL3,,2017-04-21
4X70hLzIDfY5T2BcsOcv6Q,REDMERCEDES,Aminé,REDMERCEDES,https://open.spotify.com/track/4X70hLzIDfY5T2BcsOcv6Q,,2017-03-03
6EUMXzizgZAFOhll8tKXyB,Lonely,Idealism,Chillhop Raw Cuts,https://open.spotify.com/track/6EUMXzizgZAFOhll8tKXyB,,2017-02-13
5kyd6oKvKmj6mWCaAaHoN4,Privacy,Chris Brown,Heartbreak on a Full Moon,https://open.spotify.com/track/5kyd6oKvKmj6mWCaAaHoN4,,2017-10-31
1hSuulO4BKSmYe0aSWROPM,Love Is Alive,Louis The Child,Love Is Alive,https://open.spotify.com/track/1hSuulO4BKSmYe0aSWROPM,,2017-01-27
0xl1w2q4VLojeXp4JfazPL,Sacrifices,Drake,More Life,https://open.spotify.com/track/0xl1w2q4VLojeXp4JfazPL,,2017-03-18
2QQDH8gt4nyxFu2XX6bhG8,Judas,Fozzy,Judas,https://open.spotify.com/track/2QQDH8gt4nyxFu2XX6bhG8,,2017-10-13
0ErpHxNt1kTyCQGlh43wr1,Only the Wild Ones,DISPATCH,"America, Location 12",https://open.spotify.com/track/0ErpHxNt1kTyCQGlh43wr1,,2017-06-02
3XstzgzP0rp3bzElEnRVHv,Slow Down,Mac Ayres,Drive Slow,https://open.spotify.com/track/3XstzgzP0rp3bzElEnRVHv,,2017-08-11
6Wo5YxkdXgwzKQZbDg2r17,Either Way,Chris Stapleton,From A Room: Volume 1,https://open.spotify.com/track/6Wo5YxkdXgwzKQZbDg2r17,,2017-05-05
6F84CqAnWGg6CZiWFNDuQ9,Poetry,WRABEL,We Could Be Beautiful,https://open.spotify.com/track/6F84CqAnWGg6CZiWFNDuQ9,,2017-05-12
4xu38KnbRHbRHRwdg4KFul,Box Fan Long Loop For Sleep,Fan Sounds,Box Fan Long Loop For Sleep,https://open.spotify.com/track/4xu38KnbRHbRHRwdg4KFul,,2017-01-01
6zdO7yfGMdFzEaSYDaZgNf,Woke Up in Nashville,Seth Ennis,Mabelle - EP,https://open.spotify.com/track/6zdO7yfGMdFzEaSYDaZgNf,,2017-08-11
11EDhDAVDtGPoSar6ootYA,Strangers,Halsey,hopeless fountain kingdom (Deluxe),https://open.spotify.com/track/11EDhDAVDtGPoSar6ootYA,,2017-06-02
6hmFoos3ZUupYAyCCSuUfW,lonely again,gnash,if,https://open.spotify.com/track/6hmFoos3ZUupYAyCCSuUfW,,2017-12-21
3TXYRNSjz8txG5rL5H9RWO,Swerve,Arizona Zervas,Swerve,https://open.spotify.com/track/3TXYRNSjz8txG5rL5H9RWO,,2017-01-18
5yvhdo8FXbBsIllxv2Rr94,Prom,SZA,Ctrl,https://open.spotify.com/track/5yvhdo8FXbBsIllxv2Rr94,,2017-06-09
21csDNj3WqMPYDzW996UHL,Made Love First,Marc E. Bassy,Gossip Columns,https://open.spotify.com/track/21csDNj3WqMPYDzW996UHL,,2017-10-13
6Dwtha2FtZFoMEBh5GR2sq,CRZY,Kehlani,SweetSexySavage (Deluxe),https://open.spotify.com/track/6Dwtha2FtZFoMEBh5GR2sq,,2017-01-27
2UDoZZSrs3NxlmvFZbffr4,Te Fallé,Christian Nodal,Me Dejé Llevar,https://open.spotify.com/track/2UDoZZSrs3NxlmvFZbffr4,,2017-08-25
36PQh1G6h7n9VWB799fXpI,Darling,Real Estate,In Mind,https://open.spotify.com/track/36PQh1G6h7n9VWB799fXpI,,2017-03-17
3JTtZUOiZljuWbNiasfHB6,Hopeless,Khalid,American Teen,https://open.spotify.com/track/3JTtZUOiZljuWbNiasfHB6,,2017-04-27
6pVVLXvKIzcOBj7uvoqU9g,Honestly,Lil Peep,Honestly,https://open.spotify.com/track/6pVVLXvKIzcOBj7uvoqU9g,,2017-06-08
3bnMRk8B9LUcsCHJNQAMLr,Lose My Mind - Acoustic,Dean Lewis,Same Kind Of Different (Acoustic),https://open.spotify.com/track/3bnMRk8B9LUcsCHJNQAMLr,,2017-11-17
6acDlNeA06MCVCzsTVGr9V,Cocoon,Milky Chance,Blossom (Deluxe),https://open.spotify.com/track/6acDlNeA06MCVCzsTVGr9V,,2017-03-17
5aWhs651KYM26HYM16kRdk,The Man,The Killers,Wonderful Wonderful,https://open.spotify.com/track/5aWhs651KYM26HYM16kRdk,,2017-09-22
4v0134PgBTGsFJiGcV4eJk,Last To Leave (feat. Caroline Ailin),Louis The Child,Last To Leave (feat. Caroline Ailin),https://open.spotify.com/track/4v0134PgBTGsFJiGcV4eJk,,2017-12-08
0we7ShV1o6cPTFjxOADPbC,Outcast,NF,Perception,https://open.spotify.com/track/0we7ShV1o6cPTFjxOADPbC,,2017-10-06
1Cx37RLHtu6ZWA0W1uGkai,Avoid,Lil Peep,Avoid,https://open.spotify.com/track/1Cx37RLHtu6ZWA0W1uGkai,,2017-10-13
1cuYCAodLWgzhwE2KFZ8rC,WASTE,BROCKHAMPTON,SATURATION,https://open.spotify.com/track/1cuYCAodLWgzhwE2KFZ8rC,,2017-06-09
3cQPyVlnrmmWU5fQJxl0q9,You're Now Tuning Into 66.6 FM With DJ Rapture (The Hottest Hour Of The Evening),$uicideboy$,KILL YOURSELF Part XI: The Kingdom Come Saga,https://open.spotify.com/track/3cQPyVlnrmmWU5fQJxl0q9,,2017-05-22
1ZNVczQsUBA64aWhvWqaap,CtrlAltDelete,BONES,UNRENDERED,https://open.spotify.com/track/1ZNVczQsUBA64aWhvWqaap,,2017-04-21
2QrGCbW0ylj94JfkgLZFlA,Pa Ti,Bad Bunny,Pa Ti,https://open.spotify.com/track/2QrGCbW0ylj94JfkgLZFlA,,2017-01-02
5WPXnJulBVflChZ8qIe91d,Miss It,Yung Bleu,Miss It,https://open.spotify.com/track/5WPXnJulBVflChZ8qIe91d,,2017-08-18
10hweQwWcUhBcpipYEvCYD,I Fell in Love with You One Night in September,Rook1e,Dreams for Two,https://open.spotify.com/track/10hweQwWcUhBcpipYEvCYD,,2017-09-07
3I8yVFjvJoOBM9tX4ZpxEL,Ryd,Steve Lacy,Steve Lacy's Demo,https://open.spotify.com/track/3I8yVFjvJoOBM9tX4ZpxEL,,2017-02-24
